date,symbol,fiscalqtr,MarketCapBasic,TotalRevenue,CommonStock,NetIncome,TotalCurrentAssets,TotalCurrentLiabilities,TotalStockholdersEquity,EBIT,DebttoEquity,GrossMarginPctTTM,OperatingMarginPctTTM,BasicEPSNetIncome,PriceEarningsTTM,PriceEarningsFY,PriceBookFQ,ROA
2013-09-30 00:00:00.000000,AAL,Q3,22883091920.0,6828000000.0,342000000.0,289000000.0,10241000000.0,10098000000.0,-7922000000.0,701000000.0,-1.33388,0.7372,0.0961,1.16,11.9949,13.273,5.8587,-0.03648068669527897
2013-09-30 00:00:00.000000,AEP,Q3,33669631007.0,4176000000.0,3299000000.0,433000000.0,4317000000.0,5692000000.0,15762000000.0,875000000.0,1.19185,0.5816,0.2168,0.89,17.6443,18.9126,1.8442,0.027471133104935923
2013-09-30 00:00:00.000000,AMT,Q3,58498088220.0,807880000.0,3973000.0,180123000.0,4742036000.0,823319000.0,3528963000.0,308879000.0,3.58343,0.6914,0.2999,0.46,51.1685,53.0372,9.4492,0.051041339906369096
2013-09-30 00:00:00.000000,AWK,Q3,14893260000.0,822190000.0,1781000.0,150665000.0,613220000.0,1141473000.0,4632932000.0,323934000.0,1.2254,0.5895,0.3637,0.84,35.1555,38.2803,2.7812,0.032520442777921196
2013-09-30 00:00:00.000000,ABC,Q3,19620688010.0,21906648000.0,2671000.0,168439000.0,12139073000.0,12441648000.0,2418194000.0,134646000.0,0.57747,0.0297,0.0069,0.73,20.2867,49.5509,6.9037,0.06965487467093211
2013-09-30 00:00:00.000000,AME,Q3,17453660490.0,890006000.0,2577000.0,127864000.0,1308557000.0,732221000.0,2934228000.0,204686000.0,0.44308,0.3369,0.2128,0.52,25.7857,24.4831,4.3639,0.04357670910372336
2013-09-30 00:00:00.000000,AMGN,Q3,125410360000.0,4748000000.0,29665000000.0,1368000000.0,30675000000.0,4843000000.0,21728000000.0,1688000000.0,1.25133,0.8219,0.4365,1.81,63.777,64.1697,4.9957,0.06296023564064801
2013-09-30 00:00:00.000000,APH,Q3,26048697000.0,1153062000.0,158000.0,160798000.0,3077535000.0,893201000.0,2657249000.0,224483000.0,0.70356,0.3295,0.2036,0.51,41.3641,41.2207,6.7595,0.06051295907910775
2013-09-30 00:00:00.000000,APC,Q3,36436520000.0,3853000000.0,52000000.0,182000000.0,7140000000.0,4738000000.0,22342000000.0,689000000.0,0.61082,0.7083,-0.0564,0.36,-78.2235,-63.1059,3.4066,0.008146092561095695
2013-09-30 00:00:00.000000,ADI,Q3,33129787680.0,674172000.0,51783000.0,176239000.0,5244490000.0,491809000.0,4643236000.0,208342000.0,0.18782,0.6112,0.2117,0.57,42.9474,43.6411,3.2458,0.03795607201529278
2013-09-30 00:00:00.000000,ANSS,Q3,13919334640.0,212658000.0,932000.0,62430000.0,959956000.0,386956000.0,2088298000.0,81637000.0,0.0,0.8629,0.3567,0.67,54.9597,48.3902,6.3339,0.02989515864115179
2013-09-30 00:00:00.000000,AOS,Q3,10583064286.0,536200000.0,148600000.0,46200000.0,1165000000.0,535200000.0,1252600000.0,61600000.0,0.18186,0.4134,0.1737,0.5,38.3941,35.6279,6.9124,0.036883282771834586
2013-09-30 00:00:00.000000,APA,Q3,15792450000.0,4288000000.0,255000000.0,306000000.0,6016000000.0,4523000000.0,32981000000.0,1079000000.0,0.33125,0.7318,0.1323,0.75,12.1554,12.345,2.1407,0.009278069191352597
2013-12-31 00:00:00.000000,MMM,Q4,130105625000.0,7569000000.0,9000000.0,1103000000.0,12733000000.0,7498000000.0,17502000000.0,1579000000.0,0.34333,0.4946,0.2285,1.65,27.459,28.9508,11.5381,0.06302136898640155
2013-12-31 00:00:00.000000,ABBV,Q4,147789600000.0,5111000000.0,16000000.0,1128000000.0,17848000000.0,6879000000.0,4492000000.0,1535000000.0,3.2776,0.7505,0.3399,0.7,28.0606,29.2175,29.1226,0.25111308993766696
2013-12-31 00:00:00.000000,ACN,Q4,94167229797.0,7524994000.0,75000.0,671000000.0,11844178000.0,8160990000.0,4960186000.0,983503000.0,0.00516,0.299,0.126,1.04,26.7856,23.518,10.3276,0.13527718517007226
2013-12-31 00:00:00.000000,ATVI,Q4,49990200000.0,1518000000.0,0.0,173000000.0,6241000000.0,2405000000.0,6622000000.0,285000000.0,0.7087,0.6436,0.1865,0.23,184.1667,175.8889,5.3673,0.02612503775294473
2013-12-31 00:00:00.000000,AYI,Q4,5296302000.0,579800000.0,500000.0,44900000.0,913500000.0,386200000.0,993500000.0,78200000.0,0.35591,0.4174,0.1393,1.04,15.8329,23.6984,3.2456,0.04519375943633618
2013-12-31 00:00:00.000000,ADBE,Q4,110831819640.0,1041699000.0,61000.0,65320000.0,4045929000.0,1525648000.0,6724634000.0,102836000.0,0.22514,0.8659,0.312,0.13,60.064,52.3382,13.0289,0.009713539800084287
2013-12-31 00:00:00.000000,AMD,Q4,9510480000.0,1589000000.0,7000000.0,89000000.0,2884000000.0,1618000000.0,544000000.0,135000000.0,3.78309,0.3421,0.0383,0.12,249.75,257.0,16.9879,0.1636029411764706
2013-12-31 00:00:00.000000,AAP,Q4,7662260960.0,1408813000.0,7000.0,49267000.0,3989384000.0,2764785000.0,1516205000.0,90844000.0,0.69488,0.4358,0.0608,0.68,16.162,15.4798,2.2516,0.032493627181021036
2013-12-31 00:00:00.000000,AES,Q4,7644137255.0,3800000000.0,8000000.0,-206000000.0,7739000000.0,7653000000.0,4330000000.0,265000000.0,4.8612,0.234,0.1561,-0.28,-6.6023,-6.1534,3.1163,-0.04757505773672056
